2023-07-09 22:13:49,072 - INFO - FileInfo(name='view.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,072 - INFO - FileInfo(name='model_emp.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,072 - INFO - FileInfo(name='__pycache__', ext='', type='directory', parent='Task_8')
2023-07-09 22:13:49,072 - INFO - FileInfo(name='logger', ext='.py', type='file', parent='Task_8')
2023-07-09 22:13:49,073 - INFO - FileInfo(name='view', ext='.py', type='file', parent='Task_8')
2023-07-09 22:13:49,073 - INFO - FileInfo(name='main', ext='.py', type='file', parent='Task_8')
2023-07-09 22:13:49,073 - INFO - FileInfo(name='model_emp', ext='.py', type='file', parent='Task_8')
2023-07-09 22:13:49,073 - INFO - FileInfo(name='Task_8', ext='', type='directory', parent='python')
2023-07-09 22:13:49,074 - INFO - FileInfo(name='TASK_6_1', ext='.py', type='file', parent='Task_6')
2023-07-09 22:13:49,074 - INFO - FileInfo(name='Task_6', ext='', type='directory', parent='python')
2023-07-09 22:13:49,074 - INFO - FileInfo(name='Task_dist', ext='.py', type='file', parent='Task_1')
2023-07-09 22:13:49,075 - INFO - FileInfo(name='Task_quatres', ext='.py', type='file', parent='Task_1')
2023-07-09 22:13:49,075 - INFO - FileInfo(name='1111', ext='.py', type='file', parent='Task_1')
2023-07-09 22:13:49,076 - INFO - FileInfo(name='Task11', ext='.py', type='file', parent='Task_1')
2023-07-09 22:13:49,076 - INFO - FileInfo(name='Task_quatres2', ext='.py', type='file', parent='Task_1')
2023-07-09 22:13:49,076 - INFO - FileInfo(name='Task_predicat', ext='.py', type='file', parent='Task_1')
2023-07-09 22:13:49,076 - INFO - FileInfo(name='Task_1', ext='', type='directory', parent='python')
2023-07-09 22:13:49,077 - INFO - FileInfo(name='m2', ext='.txt', type='file', parent='python')
2023-07-09 22:13:49,078 - INFO - FileInfo(name='.DS_Store', ext='', type='file', parent='Pyp')
2023-07-09 22:13:49,078 - INFO - FileInfo(name='folder', ext='', type='directory', parent='Pyp')
2023-07-09 22:13:49,078 - INFO - FileInfo(name='Pyp', ext='', type='directory', parent='python')
2023-07-09 22:13:49,078 - INFO - FileInfo(name='m1', ext='.txt', type='file', parent='python')
2023-07-09 22:13:49,079 - INFO - FileInfo(name='res01', ext='.json', type='file', parent='python')
2023-07-09 22:13:49,079 - INFO - FileInfo(name='Activate', ext='.ps1', type='file', parent='bin')
2023-07-09 22:13:49,079 - INFO - FileInfo(name='python3', ext='', type='file', parent='bin')
2023-07-09 22:13:49,080 - INFO - FileInfo(name='pytest', ext='', type='file', parent='bin')
2023-07-09 22:13:49,080 - INFO - FileInfo(name='python', ext='', type='file', parent='bin')
2023-07-09 22:13:49,080 - INFO - FileInfo(name='pip3', ext='', type='file', parent='bin')
2023-07-09 22:13:49,080 - INFO - FileInfo(name='activate', ext='.fish', type='file', parent='bin')
2023-07-09 22:13:49,081 - INFO - FileInfo(name='emoji', ext='', type='file', parent='bin')
2023-07-09 22:13:49,081 - INFO - FileInfo(name='python3', ext='.10', type='file', parent='bin')
2023-07-09 22:13:49,081 - INFO - FileInfo(name='pip', ext='', type='file', parent='bin')
2023-07-09 22:13:49,081 - INFO - FileInfo(name='httpx', ext='', type='file', parent='bin')
2023-07-09 22:13:49,081 - INFO - FileInfo(name='pip3', ext='.10', type='file', parent='bin')
2023-07-09 22:13:49,081 - INFO - FileInfo(name='activate', ext='', type='file', parent='bin')
2023-07-09 22:13:49,081 - INFO - FileInfo(name='normalizer', ext='', type='file', parent='bin')
2023-07-09 22:13:49,082 - INFO - FileInfo(name='py', ext='.test', type='file', parent='bin')
2023-07-09 22:13:49,082 - INFO - FileInfo(name='activate', ext='.csh', type='file', parent='bin')
2023-07-09 22:13:49,082 - INFO - FileInfo(name='bin', ext='', type='directory', parent='.folder')
2023-07-09 22:13:49,082 - INFO - FileInfo(name='include', ext='', type='directory', parent='.folder')
2023-07-09 22:13:49,082 - INFO - FileInfo(name='pyvenv', ext='.cfg', type='file', parent='.folder')
2023-07-09 22:13:49,094 - INFO - FileInfo(name='bot_commands.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,094 - INFO - FileInfo(name='__pycache__', ext='', type='directory', parent='.folder')
2023-07-09 22:13:49,095 - INFO - FileInfo(name='RECORD', ext='', type='file', parent='h11-0.12.0.dist-info')
2023-07-09 22:13:49,095 - INFO - FileInfo(name='WHEEL', ext='', type='file', parent='h11-0.12.0.dist-info')
2023-07-09 22:13:49,095 - INFO - FileInfo(name='top_level', ext='.txt', type='file', parent='h11-0.12.0.dist-info')
2023-07-09 22:13:49,095 - INFO - FileInfo(name='LICENSE', ext='.txt', type='file', parent='h11-0.12.0.dist-info')
2023-07-09 22:13:49,095 - INFO - FileInfo(name='INSTALLER', ext='', type='file', parent='h11-0.12.0.dist-info')
2023-07-09 22:13:49,095 - INFO - FileInfo(name='METADATA', ext='', type='file', parent='h11-0.12.0.dist-info')
2023-07-09 22:13:49,095 - INFO - FileInfo(name='h11-0.12.0', ext='.dist-info', type='directory', parent='site-packages')
2023-07-09 22:13:49,096 - INFO - FileInfo(name='tags', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,096 - INFO - FileInfo(name='_musllinux', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,096 - INFO - FileInfo(name='metadata', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,096 - INFO - FileInfo(name='version', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,096 - INFO - FileInfo(name='__init__', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,096 - INFO - FileInfo(name='markers.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='requirements.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='_musllinux.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='tags.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='utils.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='metadata.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='_tokenizer.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='_manylinux.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='_parser.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,097 - INFO - FileInfo(name='_structures.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='__init__.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='specifiers.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='version.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='_elffile.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='__pycache__', ext='', type='directory', parent='packaging')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='_parser', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='utils', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='requirements', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,098 - INFO - FileInfo(name='_structures', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,099 - INFO - FileInfo(name='markers', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,099 - INFO - FileInfo(name='py', ext='.typed', type='file', parent='packaging')
2023-07-09 22:13:49,099 - INFO - FileInfo(name='_manylinux', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,099 - INFO - FileInfo(name='_tokenizer', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,099 - INFO - FileInfo(name='specifiers', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,099 - INFO - FileInfo(name='_elffile', ext='.py', type='file', parent='packaging')
2023-07-09 22:13:49,099 - INFO - FileInfo(name='packaging', ext='', type='directory', parent='site-packages')
2023-07-09 22:13:49,100 - INFO - FileInfo(name='RECORD', ext='', type='file', parent='python_telegram_bot-20.0a4.dist-info')
2023-07-09 22:13:49,100 - INFO - FileInfo(name='WHEEL', ext='', type='file', parent='python_telegram_bot-20.0a4.dist-info')
2023-07-09 22:13:49,100 - INFO - FileInfo(name='LICENSE', ext='.dual', type='file', parent='python_telegram_bot-20.0a4.dist-info')
2023-07-09 22:13:49,100 - INFO - FileInfo(name='top_level', ext='.txt', type='file', parent='python_telegram_bot-20.0a4.dist-info')
2023-07-09 22:13:49,100 - INFO - FileInfo(name='REQUESTED', ext='', type='file', parent='python_telegram_bot-20.0a4.dist-info')
2023-07-09 22:13:49,101 - INFO - FileInfo(name='INSTALLER', ext='', type='file', parent='python_telegram_bot-20.0a4.dist-info')
2023-07-09 22:13:49,101 - INFO - FileInfo(name='METADATA', ext='', type='file', parent='python_telegram_bot-20.0a4.dist-info')
2023-07-09 22:13:49,101 - INFO - FileInfo(name='python_telegram_bot-20.0a4', ext='.dist-info', type='directory', parent='site-packages')
2023-07-09 22:13:49,101 - INFO - FileInfo(name='_ssl', ext='.py', type='file', parent='httpcore')
2023-07-09 22:13:49,101 - INFO - FileInfo(name='_synchronization', ext='.py', type='file', parent='httpcore')
2023-07-09 22:13:49,102 - INFO - FileInfo(name='interfaces', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,102 - INFO - FileInfo(name='http_proxy', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,102 - INFO - FileInfo(name='__init__', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,102 - INFO - FileInfo(name='http2', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,103 - INFO - FileInfo(name='http_proxy.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,103 - INFO - FileInfo(name='http11.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,103 - INFO - FileInfo(name='interfaces.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,103 - INFO - FileInfo(name='connection_pool.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,103 - INFO - FileInfo(name='connection.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,103 - INFO - FileInfo(name='socks_proxy.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,103 - INFO - FileInfo(name='__init__.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='http2.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='__pycache__', ext='', type='directory', parent='_async')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='socks_proxy', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='http11', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='connection', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='connection_pool', ext='.py', type='file', parent='_async')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='_async', ext='', type='directory', parent='httpcore')
2023-07-09 22:13:49,104 - INFO - FileInfo(name='_api', ext='.py', type='file', parent='httpcore')
2023-07-09 22:13:49,111 - INFO - FileInfo(name='sync', ext='.py', type='file', parent='backends')
2023-07-09 22:13:49,111 - INFO - FileInfo(name='asyncio', ext='.py', type='file', parent='backends')
2023-07-09 22:13:49,111 - INFO - FileInfo(name='__init__', ext='.py', type='file', parent='backends')
2023-07-09 22:13:49,112 - INFO - FileInfo(name='mock.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,112 - INFO - FileInfo(name='base.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,112 - INFO - FileInfo(name='trio.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,112 - INFO - FileInfo(name='asyncio.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,112 - INFO - FileInfo(name='auto.cpython-310', ext='.pyc', type='file', parent='__pycache__')
